timestamp,aircraft_id,altitude_ft,airspeed_knots,heading_deg,engine_temp_c,status
2026-05-01T10:00:00Z,AC001,12000,420,180,650,NORMAL
2026-05-01T10:00:05Z,AC001,12100,425,181,655,NORMAL
2026-05-01T10:00:10Z,AC001,-50,430,182,660,ERROR
2026-05-01T10:00:15Z,AC001,12300,900,183,780,WARNING
2026-05-01T10:00:20Z,AC001,12400,440,360,670,NORMAL
2026-05-01T10:00:25Z,AC002,52000,500,90,710,WARNING
2026-05-01T10:00:30Z,AC002,25000,480,270,755,WARNING
2026-05-01T10:00:35Z,AC002,26000,490,275,-10,ERROR
2026-05-01T10:00:40Z,AC003,30000,510,45,690,NORMAL
2026-05-01T10:00:45Z,AC003,30500,515,50,695,NORMAL
